127.0.0.1 - - [19/May/2020:16:08:12 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/May/2020:16:22:02 +0900] "GET /first.jsp HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [19/May/2020:16:22:03 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [19/May/2020:16:22:15 +0900] "GET /myweb/first.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [19/May/2020:16:29:45 +0900] "GET /myweb/first.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [19/May/2020:17:24:20 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [19/May/2020:17:26:08 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [19/May/2020:17:26:09 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [19/May/2020:17:29:22 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [19/May/2020:17:30:05 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [19/May/2020:17:30:33 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [19/May/2020:17:32:34 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [19/May/2020:17:48:10 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [19/May/2020:17:48:12 +0900] "GET /myweb/basic/sample1.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [19/May/2020:17:48:17 +0900] "GET /myweb/basic/sample2.jsp HTTP/1.1" 200 373
